timestamp,event_type,data
2024-01-15T10:00:00Z,commit,"{""commit_id"": ""abc123"", ""author"": ""developer1"", ""message"": ""Fix authentication bug"", ""files_changed"": 3}"
2024-01-15T10:05:00Z,test_failure,"{""test_name"": ""test_user_login"", ""error"": ""AssertionError: Expected 200, got 401"", ""suite"": ""integration""}"
2024-01-15T10:10:00Z,error,"{""message"": ""Database connection timeout"", ""severity"": ""critical"", ""service"": ""api-gateway"", ""stack_trace"": ""Connection refused on port 5432""}"
2024-01-15T10:15:00Z,code_review,"{""pr_id"": ""PR-456"", ""title"": ""Implement OAuth2 flow"", ""author"": ""developer2"", ""reviewers"": [""reviewer1"", ""reviewer2""], ""status"": ""pending""}"
2024-01-15T10:20:00Z,security_alert,"{""alert_type"": ""dependency_vulnerability"", ""severity"": ""high"", ""details"": ""CVE-2024-1234 in lodash@4.17.0"", ""affected_services"": [""frontend"", ""backend""]}"
2024-01-15T10:25:00Z,deployment,"{""service"": ""user-service"", ""environment"": ""production"", ""version"": ""v2.3.1"", ""status"": ""success""}"
2024-01-15T10:30:00Z,test_failure,"{""test_name"": ""test_payment_processing"", ""error"": ""Timeout after 30s"", ""suite"": ""e2e""}"
2024-01-15T10:35:00Z,issue_created,"{""issue_id"": ""ISSUE-789"", ""title"": ""Performance degradation on dashboard"", ""reporter"": ""user123"", ""priority"": ""medium"", ""labels"": [""performance"", ""frontend""]}"
2024-01-15T10:40:00Z,error,"{""message"": ""Out of memory error"", ""severity"": ""critical"", ""service"": ""data-processor"", ""memory_usage"": ""95%""}"
2024-01-15T10:45:00Z,test_failure,"{""test_name"": ""test_user_login"", ""error"": ""AssertionError: Expected 200, got 401"", ""suite"": ""integration"", ""note"": ""Third failure in a row""}"
2024-01-15T10:50:00Z,file_change,"{""file"": ""src/auth/login.py"", ""author"": ""developer1"", ""changes"": 15}"
2024-01-15T10:55:00Z,error,"{""message"": ""API rate limit exceeded"", ""severity"": ""warning"", ""service"": ""external-api-client"", ""endpoint"": ""/v1/users""}"
2024-01-15T11:00:00Z,build_status,"{""build_id"": ""BUILD-789"", ""status"": ""failed"", ""reason"": ""Compilation error in module auth""}"
2024-01-15T11:05:00Z,test_failure,"{""test_name"": ""test_user_login"", ""error"": ""AssertionError: Expected 200, got 401"", ""suite"": ""integration"", ""note"": ""Fourth failure""}"
2024-01-15T11:10:00Z,code_review,"{""pr_id"": ""PR-457"", ""title"": ""Fix login test failures"", ""author"": ""developer1"", ""reviewers"": [""reviewer1""], ""status"": ""pending""}"
2024-01-15T11:15:00Z,security_alert,"{""alert_type"": ""unauthorized_access_attempt"", ""severity"": ""critical"", ""details"": ""Multiple failed login attempts from IP 192.168.1.100"", ""affected_services"": [""auth-service""]}"
2024-01-15T11:20:00Z,error,"{""message"": ""Database connection timeout"", ""severity"": ""critical"", ""service"": ""api-gateway"", ""stack_trace"": ""Connection refused on port 5432""}"
2024-01-15T11:25:00Z,deployment,"{""service"": ""auth-service"", ""environment"": ""staging"", ""version"": ""v1.5.2"", ""status"": ""success""}"
2024-01-15T11:30:00Z,test_failure,"{""test_name"": ""test_user_login"", ""error"": ""AssertionError: Expected 200, got 401"", ""suite"": ""integration"", ""note"": ""Fifth failure - escalation needed""}"
2024-01-15T11:35:00Z,issue_created,"{""issue_id"": ""ISSUE-790"", ""title"": ""Login functionality broken"", ""reporter"": ""qa_team"", ""priority"": ""critical"", ""labels"": [""bug"", ""auth"", ""blocker""]}"
